Age,Avg_BPM,BMI,Calories_Burned,Experience_Level,Fat_Percentage,Gender,Height (m),Max_BPM,Resting_BPM,Session_Duration (hours),Water_Intake (liters),Weight (kg),Workout_Frequency (days/week),Workout_Type
32,138,33.4,964.0,1,28.4,Male,1.8,172,53,1.27,3.5,108.2,3,HIIT
20,127,28.31,654.0,2,28.0,Female,1.52,185,50,1.03,2.2,65.4,4,Yoga
54,157,19.37,1046.0,1,28.2,Female,1.61,188,67,1.48,2.7,50.2,2,HIIT
24,157,25.83,816.0,1,31.7,Female,1.51,187,68,1.04,2.5,58.9,2,Cardio
38,148,27.84,1237.0,3,10.2,Male,1.71,187,58,1.52,3.5,81.4,5,HIIT
26,160,42.63,1162.0,1,27.3,Male,1.73,167,62,1.32,2.9,127.6,3,Strength
56,155,24.37,879.0,2,33.4,Female,1.56,182,57,1.26,2.6,59.3,4,Cardio
35,145,33.14,1069.0,2,24.2,Male,1.71,188,72,1.34,2.9,96.9,3,Strength
21,150,19.11,1072.0,2,27.6,Male,1.81,164,62,1.3,3.5,62.6,4,Strength
42,163,17.77,1057.0,2,21.7,Male,1.6,166,64,1.31,2.6,45.5,3,Strength
31,131,21.4,969.0,1,28.2,Female,1.51,195,60,1.48,2.0,48.8,2,Cardio
26,136,17.3,734.0,1,34.7,Female,1.6,186,61,1.08,2.0,44.3,3,Cardio
43,134,33.8,962.0,2,29.9,Male,1.83,161,63,1.45,2.9,113.2,4,Yoga
19,128,23.93,730.0,1,30.1,Female,1.59,184,53,1.14,2.2,60.5,2,Cardio
37,158,40.1,1304.0,1,29.3,Male,1.76,168,50,1.5,2.8,124.2,2,HIIT
45,161,15.31,956.0,1,25.2,Male,1.85,186,73,1.2,2.5,52.4,3,Strength
24,167,18.07,772.0,1,22.9,Male,1.74,160,53,0.84,3.6,54.7,3,Yoga
25,131,23.17,1016.0,1,22.7,Male,1.95,182,68,1.41,3.0,88.1,2,Cardio
52,151,20.42,836.0,1,34.3,Female,1.71,169,58,1.23,2.0,59.7,3,Strength
31,144,33.61,742.0,2,26.7,Female,1.54,184,59,1.03,2.3,79.7,4,Cardio
34,158,19.43,1122.0,2,30.8,Female,1.62,162,53,1.42,2.4,51.0,3,Yoga
53,137,27.18,1133.0,3,12.8,Male,1.76,165,69,1.67,3.5,84.2,5,Cardio
57,134,34.18,750.0,1,27.4,Male,1.89,165,58,1.13,3.6,122.1,3,Cardio
21,151,32.69,1046.0,1,25.0,Male,1.72,161,62,1.26,2.8,96.7,3,Strength
19,125,22.78,506.0,1,27.7,Female,1.79,177,61,0.81,1.6,73.0,3,HIIT
23,163,44.84,1318.0,2,21.7,Male,1.6,182,60,1.47,2.7,114.8,4,Cardio
59,162,28.35,1021.0,2,31.2,Female,1.52,161,61,1.4,2.1,65.5,3,Yoga
21,154,21.77,832.0,1,32.2,Female,1.52,171,67,1.08,2.6,50.3,3,Cardio
46,153,20.86,1150.0,3,17.8,Female,1.71,181,61,1.67,2.7,61.0,4,Cardio
35,157,16.99,440.0,1,32.4,Female,1.62,196,65,0.56,2.0,44.6,2,HIIT
43,124,22.45,580.0,2,26.4,Female,1.61,179,54,1.04,2.6,58.2,3,Strength
51,137,16.86,666.0,2,33.8,Female,1.63,198,69,1.08,2.1,44.8,4,Yoga
27,135,32.93,1299.0,3,12.9,Male,1.63,183,74,1.75,3.5,87.5,5,Strength
53,127,17.11,773.0,2,21.3,Male,1.74,179,61,1.23,3.7,51.8,3,Strength
31,144,22.28,1418.0,3,17.3,Female,1.7,160,70,1.97,2.7,64.4,5,Strength
48,151,25.89,421.0,1,33.4,Female,1.61,160,74,0.62,1.5,67.1,2,Cardio
32,145,33.55,1587.0,3,14.5,Male,1.6,176,60,1.99,3.5,85.9,5,HIIT
25,141,20.88,627.0,1,27.6,Female,1.77,160,58,0.89,2.6,65.4,3,Cardio
31,150,19.72,1358.0,3,18.6,Female,1.76,189,67,1.81,2.7,61.1,4,Yoga
40,162,39.12,1176.0,2,21.0,Male,1.65,162,74,1.32,3.6,106.5,4,HIIT
57,129,27.7,1004.0,3,15.2,Female,1.52,170,52,1.73,2.7,64.0,5,Strength
38,131,25.89,963.0,2,30.6,Female,1.54,183,69,1.47,2.7,61.4,3,HIIT
33,147,15.24,786.0,2,31.9,Female,1.63,181,66,1.07,1.5,40.5,4,Yoga
35,125,21.88,743.0,2,28.0,Male,1.79,185,63,1.08,2.3,70.1,3,Cardio
41,139,35.86,777.0,2,23.4,Male,1.62,172,50,1.13,3.1,94.1,4,Cardio
43,124,16.76,663.0,1,20.1,Male,1.82,160,66,1.08,2.0,55.5,3,Strength
42,142,18.15,875.0,1,29.8,Female,1.72,183,74,1.37,1.6,53.7,3,Cardio
58,128,21.58,363.0,1,25.2,Female,1.75,169,57,0.63,1.8,66.1,2,Cardio
46,148,33.16,864.0,1,20.9,Male,1.77,194,54,1.18,2.9,103.9,2,Yoga
32,135,24.72,1262.0,3,16.6,Female,1.58,183,54,1.87,2.7,61.7,5,HIIT
18,165,17.27,990.0,1,29.4,Female,1.74,187,58,1.2,2.2,52.3,2,Cardio
42,141,19.65,1129.0,3,16.4,Female,1.74,195,52,1.78,2.7,59.5,5,Yoga
24,127,23.53,546.0,1,30.8,Female,1.76,175,68,0.86,1.5,72.9,3,Yoga
26,139,28.87,751.0,1,25.6,Female,1.63,199,72,1.08,1.7,76.7,2,Strength
41,133,21.53,744.0,2,21.4,Male,1.83,175,58,1.13,2.8,72.1,3,Yoga
18,158,19.42,1003.0,2,32.0,Female,1.68,176,71,1.27,2.2,54.8,4,Strength
25,156,29.71,1150.0,2,21.4,Male,1.88,174,67,1.34,2.3,105.0,3,Cardio
41,169,22.89,1103.0,2,31.4,Female,1.55,175,65,1.45,2.0,55.0,4,Strength
28,153,29.61,917.0,2,20.5,Male,1.66,174,50,1.09,3.5,81.6,4,Yoga
34,130,29.53,416.0,1,29.1,Female,1.6,193,51,0.64,2.7,75.6,2,HIIT
25,159,31.44,1688.0,3,10.9,Male,1.61,170,63,1.93,3.5,81.5,4,HIIT
52,152,21.53,1231.0,3,15.5,Female,1.69,160,63,1.8,2.7,61.5,4,Cardio
52,150,27.85,936.0,2,25.7,Male,1.63,174,50,1.26,3.7,74.0,3,Cardio
50,163,22.31,924.0,1,34.3,Female,1.59,185,74,1.26,2.6,56.4,3,HIIT
22,153,30.3,1052.0,2,20.5,Male,1.84,163,65,1.25,2.7,102.6,3,Strength
59,169,22.15,441.0,1,29.2,Female,1.57,164,64,0.58,2.3,54.6,3,Cardio
56,126,40.71,805.0,1,27.1,Male,1.78,194,64,1.29,2.7,129.0,2,Yoga
58,168,37.56,1106.0,1,24.6,Male,1.66,172,61,1.33,3.1,103.5,3,Cardio
45,142,26.05,735.0,2,33.1,Female,1.51,169,65,1.15,1.9,59.4,4,Strength
24,165,18.76,1625.0,3,15.9,Female,1.79,170,63,1.97,2.7,60.1,4,Cardio
26,126,29.61,804.0,2,29.6,Male,1.62,177,73,1.16,3.0,77.7,3,Yoga
25,144,15.7,1073.0,2,28.9,Female,1.62,193,64,1.49,2.1,41.2,4,Yoga
29,122,22.61,805.0,2,23.4,Male,1.61,198,72,1.2,2.0,58.6,3,Yoga
51,157,34.5,420.0,1,28.7,Male,1.78,182,64,0.54,3.3,109.3,3,Strength
50,139,18.12,667.0,1,25.6,Male,1.96,166,68,0.97,2.0,69.6,3,Strength
40,153,17.54,1369.0,3,17.6,Female,1.79,198,57,1.79,2.7,56.2,5,Yoga
41,168,18.66,424.0,1,27.3,Male,1.96,162,51,0.51,2.5,71.7,2,Yoga
54,163,23.09,1404.0,3,12.9,Male,1.93,171,51,1.74,3.5,86.0,5,Strength
52,163,31.41,1020.0,2,26.6,Female,1.59,166,59,1.39,1.5,79.4,3,Strength
57,149,29.87,677.0,2,31.7,Female,1.62,185,52,1.01,2.0,78.4,4,Strength
39,136,21.64,979.0,2,26.3,Female,1.6,192,72,1.44,1.6,55.4,3,HIIT
44,129,25.68,819.0,2,33.1,Female,1.55,196,66,1.41,2.6,61.7,4,Strength
52,154,25.81,1357.0,3,14.9,Male,1.82,174,57,1.78,3.5,85.5,4,Yoga
18,139,23.52,1315.0,3,11.9,Male,1.93,161,72,1.72,3.5,87.6,4,HIIT
52,137,27.85,685.0,2,24.4,Male,1.72,166,53,1.01,2.7,82.4,4,Strength
54,164,23.74,446.0,1,20.5,Male,1.68,191,63,0.55,2.8,67.0,3,Yoga
31,163,16.52,888.0,2,25.1,Female,1.6,163,70,1.09,1.9,42.3,3,Cardio
20,146,20.88,1357.0,3,14.6,Male,1.99,179,59,1.69,3.5,82.7,5,HIIT
18,168,30.52,1303.0,1,21.3,Male,1.74,195,50,1.41,3.1,92.4,2,Yoga
22,155,26.65,790.0,2,29.5,Female,1.54,191,53,1.02,2.4,63.2,4,Cardio
43,142,24.16,858.0,2,28.2,Male,1.85,187,50,1.22,3.1,82.7,4,Yoga
31,151,27.96,1071.0,2,28.9,Male,1.76,172,66,1.29,3.3,86.6,3,Strength
56,129,34.06,639.0,1,25.2,Male,1.95,160,66,1.0,3.5,129.5,2,Strength
44,130,29.26,824.0,2,25.7,Male,1.83,194,56,1.28,3.5,98.0,4,Cardio
26,157,30.54,1701.0,3,13.3,Male,1.68,189,72,1.97,3.5,86.2,5,Strength
32,125,29.95,880.0,1,29.6,Male,1.62,195,69,1.28,3.1,78.6,3,Yoga
32,160,21.41,408.0,1,31.0,Female,1.66,184,64,0.51,1.8,59.0,2,Cardio
43,166,17.88,1479.0,3,17.8,Female,1.79,175,62,1.98,2.7,57.3,4,Yoga
59,153,34.24,500.0,1,20.1,Male,1.89,178,51,0.66,3.1,122.3,3,Yoga
30,155,22.43,1373.0,3,10.4,Male,1.95,160,68,1.61,3.5,85.3,5,Yoga
49,156,14.93,870.0,2,30.8,Female,1.74,164,73,1.24,2.1,45.2,3,Strength
56,136,15.08,458.0,1,29.4,Male,1.92,181,62,0.68,3.2,55.6,3,Strength
49,159,21.78,1503.0,3,14.3,Male,1.95,183,73,1.91,3.5,82.8,5,Yoga
21,159,45.43,1207.0,2,29.8,Male,1.66,196,60,1.38,3.4,125.2,3,HIIT
47,131,18.26,837.0,2,30.3,Female,1.79,195,71,1.42,2.4,58.5,4,Yoga
54,140,22.64,811.0,1,27.9,Male,1.95,195,64,1.17,3.4,86.1,2,Yoga
40,159,24.5,1041.0,2,33.4,Female,1.61,163,59,1.31,1.6,63.5,3,Cardio
56,138,24.55,451.0,1,26.5,Male,1.68,195,58,0.66,2.1,69.3,2,Yoga
32,122,26.86,756.0,1,28.4,Female,1.62,177,58,1.24,1.8,70.5,2,Strength
46,137,22.08,1042.0,3,17.3,Female,1.65,175,69,1.69,2.7,60.1,4,Cardio
53,138,24.75,608.0,1,28.6,Male,1.95,177,50,0.89,3.5,94.1,3,HIIT
30,166,30.18,1046.0,2,28.0,Female,1.62,181,66,1.26,2.5,79.2,4,Cardio
49,125,31.61,854.0,1,29.2,Male,1.91,161,61,1.38,3.2,115.3,2,HIIT
24,135,19.63,958.0,2,27.3,Female,1.79,180,59,1.42,2.3,62.9,4,Cardio
39,127,23.05,678.0,1,27.5,Male,1.64,195,54,0.97,3.2,62.0,3,Cardio
45,167,27.93,1265.0,3,13.2,Male,1.78,198,67,1.53,3.5,88.5,4,HIIT
19,137,23.59,877.0,2,32.5,Female,1.77,198,64,1.28,2.6,73.9,3,Strength
59,167,13.23,885.0,1,24.4,Male,1.95,188,55,1.07,3.4,50.3,3,Strength
23,162,25.65,624.0,1,29.3,Male,1.8,185,56,0.7,3.1,83.1,3,Strength
45,158,20.55,1038.0,1,31.3,Female,1.78,180,66,1.46,2.3,65.1,3,Cardio
45,168,14.54,1214.0,2,22.9,Male,1.79,176,55,1.46,2.4,46.6,3,Yoga
37,168,28.97,499.0,1,26.4,Male,1.89,175,57,0.54,3.1,103.5,2,Cardio
47,131,26.1,1150.0,3,16.4,Female,1.54,190,61,1.95,2.7,61.9,4,Yoga
28,164,20.06,1082.0,2,27.9,Female,1.61,168,70,1.32,2.0,52.0,3,Yoga
45,129,38.78,530.0,1,24.0,Male,1.71,190,63,0.83,2.3,113.4,2,Strength
42,126,16.04,886.0,2,28.5,Male,1.98,173,61,1.42,3.4,62.9,4,Yoga
56,165,12.47,913.0,2,30.0,Female,1.8,196,72,1.23,2.1,40.4,4,Cardio
50,120,21.91,362.0,1,31.8,Female,1.75,161,59,0.67,2.7,67.1,3,Cardio
18,168,27.01,1201.0,1,23.9,Male,1.61,173,71,1.3,2.5,70.0,2,Strength
44,155,22.69,711.0,1,27.6,Female,1.75,192,69,1.02,2.1,69.5,3,HIIT
30,140,39.16,832.0,2,29.5,Male,1.66,194,64,1.08,2.8,107.9,3,Cardio
58,156,29.88,1151.0,2,26.0,Male,1.91,198,56,1.49,2.2,109.0,3,Yoga
20,143,27.69,1070.0,2,29.3,Male,1.91,179,58,1.36,2.7,101.0,3,Cardio
56,144,25.86,1119.0,3,11.0,Male,1.85,161,59,1.57,3.5,88.5,4,Cardio
23,126,24.97,1074.0,3,10.7,Male,1.8,178,59,1.55,3.5,80.9,4,Cardio
25,161,16.42,837.0,2,33.6,Female,1.62,196,65,1.04,1.8,43.1,4,HIIT
44,136,25.58,967.0,3,18.4,Female,1.52,177,56,1.58,2.7,59.1,5,Yoga
26,148,23.07,844.0,1,26.9,Female,1.53,175,54,1.14,1.7,54.0,3,Strength
54,149,22.82,852.0,1,27.7,Female,1.78,163,72,1.27,1.8,72.3,2,Cardio
50,126,13.03,574.0,1,28.0,Male,1.98,171,52,0.92,2.4,51.1,2,Yoga
59,152,30.22,813.0,1,24.5,Male,1.72,188,67,1.08,3.2,89.4,3,Yoga
41,126,15.9,680.0,2,26.7,Male,1.8,166,60,1.09,2.1,51.5,4,Strength
32,143,24.87,1195.0,3,11.6,Male,1.88,173,64,1.52,3.5,87.9,5,Cardio
49,130,18.18,644.0,1,28.8,Female,1.52,171,70,1.1,2.2,42.0,3,HIIT
49,128,26.77,925.0,1,29.9,Male,1.72,194,69,1.46,3.3,79.2,3,Yoga
41,131,22.16,778.0,2,22.5,Male,1.71,164,54,1.2,2.8,64.8,3,Strength
58,154,19.88,1095.0,3,17.5,Female,1.78,176,73,1.58,2.7,63.0,4,HIIT
29,123,17.94,418.0,1,33.4,Female,1.77,191,61,0.68,2.6,56.2,3,Yoga
56,155,19.67,767.0,2,27.4,Female,1.64,169,53,1.1,2.3,52.9,3,Cardio
19,147,17.16,772.0,1,29.2,Female,1.69,176,64,1.05,2.4,49.0,3,Yoga
20,132,37.87,603.0,1,26.2,Male,1.84,164,58,0.83,2.3,128.2,3,HIIT
54,142,24.16,1082.0,3,12.4,Male,1.86,168,56,1.54,3.5,83.6,5,HIIT
34,138,17.94,1249.0,3,17.3,Female,1.77,192,59,1.81,2.7,56.2,5,Cardio
19,161,27.71,1133.0,1,23.6,Male,1.78,195,72,1.28,3.3,87.8,2,Cardio
19,156,25.1,1424.0,3,12.9,Male,1.85,195,62,1.66,3.5,85.9,4,Strength
45,158,14.61,1126.0,2,26.2,Male,1.87,177,57,1.44,3.4,51.1,4,Cardio
40,143,19.63,1337.0,3,18.3,Female,1.71,168,61,1.87,2.7,57.4,5,Strength
54,135,31.17,802.0,2,20.7,Male,1.92,188,71,1.2,2.6,114.9,4,HIIT
49,152,22.54,937.0,2,31.3,Female,1.66,173,73,1.37,1.8,62.1,3,HIIT
50,131,15.65,707.0,2,29.5,Male,1.91,184,68,1.09,2.7,57.1,4,Yoga
18,153,21.02,926.0,2,25.4,Male,1.8,174,50,1.1,3.3,68.1,4,Yoga
36,126,25.42,852.0,1,27.2,Male,1.65,165,65,1.23,2.7,69.2,3,Strength
19,130,28.22,800.0,1,30.6,Female,1.52,188,71,1.23,2.4,65.2,3,Cardio
43,150,36.29,988.0,1,28.5,Male,1.73,174,66,1.33,2.2,108.6,2,Cardio
49,148,14.69,686.0,2,34.3,Female,1.65,188,74,1.03,2.5,40.0,3,Yoga
23,132,16.78,370.0,1,26.8,Female,1.58,163,67,0.56,1.8,41.9,3,HIIT
49,150,29.56,979.0,2,29.4,Female,1.52,177,60,1.45,1.8,68.3,4,Strength
21,121,34.53,1138.0,3,12.0,Male,1.6,198,67,1.71,3.5,88.4,4,HIIT
28,158,18.28,1025.0,1,24.1,Male,1.9,175,56,1.18,3.0,66.0,3,HIIT
34,134,26.73,929.0,2,21.3,Male,1.64,170,67,1.26,2.1,71.9,4,Cardio
55,130,25.85,663.0,2,28.1,Male,1.71,173,57,1.03,2.0,75.6,4,Strength
41,153,25.08,1267.0,3,15.2,Female,1.59,162,55,1.84,2.7,63.4,5,HIIT
22,158,22.85,1177.0,1,30.3,Female,1.77,197,56,1.49,1.8,71.6,3,Yoga
51,123,18.32,598.0,2,31.6,Female,1.77,177,72,1.08,2.1,57.4,4,Yoga
23,130,21.16,1280.0,3,11.0,Male,1.99,179,71,1.79,3.5,83.8,4,Cardio
39,148,19.12,1443.0,3,19.5,Female,1.71,184,59,1.95,2.7,55.9,5,Yoga
28,121,28.09,799.0,2,28.4,Male,1.76,197,60,1.2,3.5,87.0,3,Yoga
33,135,22.33,796.0,2,29.7,Female,1.71,172,74,1.18,2.5,65.3,4,HIIT
50,158,16.28,1071.0,2,24.1,Male,1.67,163,62,1.37,2.8,45.4,4,Yoga
26,132,24.91,1241.0,3,11.2,Male,1.87,173,58,1.71,3.5,87.1,4,Yoga
23,156,26.26,1147.0,2,32.3,Female,1.73,192,56,1.47,1.5,78.6,4,HIIT
33,136,26.67,734.0,1,26.3,Female,1.71,187,58,1.08,2.1,78.0,3,Cardio
46,140,24.78,1153.0,3,18.4,Female,1.53,196,62,1.83,2.7,58.0,4,Cardio
20,163,24.96,1043.0,2,33.4,Female,1.69,167,52,1.28,2.3,71.3,3,Strength
37,138,16.22,842.0,2,22.3,Male,1.74,193,52,1.11,2.6,49.1,3,Yoga
53,126,28.76,703.0,1,33.7,Female,1.65,164,50,1.24,1.6,78.3,3,HIIT
36,157,21.3,887.0,2,25.3,Female,1.64,164,70,1.13,1.8,57.3,4,Strength
43,127,18.67,732.0,1,34.1,Female,1.61,190,69,1.28,2.4,48.4,2,Cardio
20,132,29.11,980.0,2,21.2,Male,1.62,168,51,1.35,2.6,76.4,4,Cardio
36,156,35.18,1021.0,1,26.5,Male,1.77,191,74,1.19,3.4,110.2,2,HIIT
37,121,23.53,732.0,2,27.5,Female,1.76,192,52,1.21,1.9,72.9,3,Strength
49,160,23.73,1481.0,3,14.2,Male,1.86,162,64,1.87,3.5,82.1,4,Strength
24,130,19.01,410.0,1,30.1,Female,1.76,189,73,0.63,1.7,58.9,3,HIIT
58,143,23.51,1111.0,3,10.7,Male,1.87,171,55,1.57,3.5,82.2,4,HIIT
50,125,32.69,903.0,2,25.7,Male,1.72,188,62,1.46,2.7,96.7,3,Strength
57,145,23.53,1292.0,3,12.0,Male,1.86,162,70,1.8,3.5,81.4,5,Cardio
56,126,36.02,680.0,2,26.6,Male,1.73,185,50,1.09,2.8,107.8,3,Yoga
35,158,25.07,790.0,2,33.8,Female,1.62,189,69,1.0,1.5,65.8,4,Cardio
57,138,28.15,900.0,2,29.1,Female,1.56,168,68,1.45,1.6,68.5,4,HIIT
18,125,25.28,1169.0,3,16.4,Female,1.59,185,50,1.87,2.7,63.9,4,Strength
28,162,29.07,1034.0,2,20.1,Male,1.62,161,70,1.16,2.3,76.3,3,Strength
45,148,16.35,959.0,1,30.7,Female,1.65,162,71,1.44,1.6,44.5,3,Yoga
42,162,16.56,940.0,2,29.0,Female,1.75,163,51,1.29,1.9,50.7,3,Strength
40,158,21.26,1224.0,3,16.9,Female,1.61,184,64,1.55,2.7,55.1,4,Yoga
48,121,28.43,815.0,2,21.8,Male,1.61,172,63,1.36,3.6,73.7,4,Cardio
47,138,17.75,820.0,2,24.3,Male,1.77,198,68,1.2,2.9,55.6,4,Cardio
59,123,28.05,688.0,2,29.8,Male,1.76,194,60,1.13,3.1,86.9,3,Strength
52,125,21.36,900.0,3,16.5,Female,1.68,182,64,1.6,2.7,60.3,4,Strength
24,168,15.02,832.0,1,31.0,Female,1.64,168,55,0.99,1.9,40.4,2,HIIT
33,156,28.49,1006.0,2,32.8,Female,1.66,161,69,1.29,1.9,78.5,4,HIIT
43,147,34.68,597.0,1,27.5,Male,1.72,190,58,0.82,2.0,102.6,2,Strength
19,149,30.37,1074.0,1,23.3,Male,1.91,161,54,1.31,2.9,110.8,2,Strength
18,126,19.01,699.0,1,31.1,Female,1.79,191,69,1.11,2.1,60.9,2,Cardio
29,128,21.49,993.0,1,28.7,Male,1.61,177,51,1.41,2.3,55.7,3,Strength
22,144,29.98,919.0,2,20.2,Male,1.92,172,55,1.16,3.3,110.5,3,HIIT
54,152,18.88,579.0,1,24.4,Male,1.71,164,67,0.77,2.8,55.2,2,Cardio
49,120,15.72,832.0,2,22.2,Male,1.72,169,72,1.4,2.6,46.5,4,Yoga
26,125,25.73,506.0,1,28.9,Female,1.66,184,68,0.81,1.7,70.9,3,HIIT
58,137,24.36,739.0,1,24.2,Male,1.75,193,58,1.09,2.9,74.6,2,HIIT
52,129,15.24,594.0,1,27.5,Male,1.72,196,70,0.93,3.3,45.1,2,Cardio
36,147,25.23,1075.0,1,20.9,Male,1.99,189,73,1.33,2.5,99.9,3,Yoga
33,130,45.14,744.0,2,25.1,Male,1.61,166,55,1.04,2.4,117.0,3,HIIT
20,152,25.36,1056.0,2,30.6,Female,1.73,165,63,1.39,2.1,75.9,4,Strength
37,120,26.47,666.0,2,29.9,Female,1.64,162,73,1.11,1.7,71.2,3,HIIT
41,132,26.64,660.0,2,27.3,Male,1.72,172,62,1.01,3.1,78.8,4,Cardio
50,156,17.72,1012.0,1,23.8,Male,1.69,162,60,1.31,3.0,50.6,2,Cardio
41,139,25.75,1163.0,3,14.7,Male,1.79,185,61,1.69,3.5,82.5,4,Cardio
28,120,33.86,878.0,2,24.8,Male,1.79,183,68,1.33,2.1,108.5,4,HIIT
25,122,12.73,772.0,2,25.7,Male,1.98,165,68,1.15,2.1,49.9,3,Yoga
53,137,34.29,353.0,1,28.3,Male,1.91,171,70,0.52,3.1,125.1,2,Strength
55,160,28.92,763.0,1,27.8,Female,1.66,195,68,1.06,1.9,79.7,2,Cardio
57,133,47.72,632.0,1,20.8,Male,1.63,161,73,0.96,2.1,126.8,2,Yoga
37,150,22.15,982.0,1,32.1,Female,1.57,170,62,1.31,2.4,54.6,3,Strength
52,146,20.16,880.0,2,29.8,Female,1.54,198,63,1.34,1.9,47.8,3,Cardio
42,136,26.84,680.0,2,29.0,Male,1.91,193,73,1.01,2.8,97.9,3,Strength
52,165,26.61,1010.0,2,34.8,Female,1.54,185,67,1.36,1.8,63.1,3,Strength
42,148,25.35,713.0,2,29.0,Female,1.69,177,61,1.07,2.3,72.4,3,Yoga
46,155,20.38,1060.0,3,17.1,Female,1.7,180,53,1.52,2.7,58.9,4,Strength
35,156,19.69,803.0,2,29.1,Female,1.6,195,59,1.03,1.9,50.4,4,Cardio
35,145,25.39,1182.0,3,16.6,Female,1.59,199,66,1.63,2.7,64.2,5,Yoga
19,136,18.77,952.0,1,32.8,Female,1.77,181,53,1.4,2.7,58.8,2,HIIT
52,141,40.09,949.0,1,27.6,Male,1.62,189,61,1.36,3.2,105.2,3,HIIT
33,144,20.4,662.0,1,29.8,Female,1.5,189,62,0.92,1.7,45.9,3,Yoga
58,121,24.54,610.0,2,25.4,Female,1.63,167,53,1.12,2.0,65.2,3,HIIT
53,141,17.57,964.0,3,16.5,Female,1.79,193,59,1.52,2.7,56.3,5,Strength
50,124,31.14,497.0,1,22.9,Male,1.7,168,74,0.81,2.7,90.0,2,Cardio
21,123,20.76,1212.0,3,19.1,Female,1.7,179,52,1.97,2.7,60.0,5,Strength
50,155,17.61,1136.0,1,20.9,Male,1.71,199,64,1.48,2.9,51.5,2,Yoga
31,125,23.46,962.0,3,19.0,Female,1.64,184,51,1.54,2.7,63.1,4,Cardio
38,140,29.21,616.0,1,26.7,Male,1.77,178,74,0.8,3.4,91.5,2,Yoga
37,132,17.46,1009.0,1,27.3,Male,1.67,164,74,1.39,3.0,48.7,2,Yoga
25,156,23.75,1053.0,2,29.3,Female,1.56,170,66,1.35,1.6,57.8,3,Yoga
24,144,13.71,598.0,1,31.8,Female,1.75,174,55,0.83,2.3,42.0,3,Strength
20,145,34.83,502.0,1,26.1,Male,1.92,167,57,0.63,2.0,128.4,2,Cardio
34,158,30.1,1161.0,1,32.7,Female,1.57,178,52,1.47,2.4,74.2,3,Cardio
50,139,31.75,1232.0,3,12.2,Male,1.68,182,74,1.79,3.5,89.6,5,Cardio
